feature,total_freq,doc_freq,variant_likelihood,label
f for h,1.0,1,0.0,reading
f for p,12.0,4,0.6527865981028818,reading
f for ẏ,1.0,1,0.0,reading
f inserted,2.0,1,0.0,reading
g deleted,4.0,4,0.243631527026512,reading
g for a,1.0,1,0.0,reading
g for d,2.0,2,0.0,reading
g for o,1.0,1,0.0,reading
g for p,2.0,1,0.0,reading
g for γ,2.0,2,0.0,reading
g inserted,11.0,5,0.2074657774786516,reading
h deleted,144.0,9,0.0386517977341229,reading
h for a,1.0,1,0.0,reading
h for ai,1.0,1,0.0,reading
h for au,1.0,1,0.0,reading
h for g,1.0,1,0.0,reading
h for i,2.0,2,0.0,reading
h for m,1.0,1,0.0,reading
h for v,2.0,1,0.0,reading
h for δ,1.0,1,0.0,reading
h inserted,53.0,9,0.0688991427093894,reading
i deleted,431.0,10,0.0130871281998568,reading
i for a,208.0,9,0.1072716594824758,reading
i for ai,7.0,5,0.5221677259111317,reading
i for au,35.0,7,0.2258712177692959,reading
i for aē,11.0,4,0.4321406408199179,reading
i for c,1.0,1,0.0,reading
i for e,281.0,10,0.0494391569934288,reading
i for h,2.0,1,0.0,reading
i for ii,55.0,9,0.0928974145386104,reading
i for m,3.0,2,0.947766263707773,variant
i for n,4.0,2,0.6538194890505433,reading
i for o,4.0,2,0.9587651324906024,variant
i for r,3.0,2,0.947766263707773,variant
i for u,6.0,3,0.5469416065707711,reading
i for y,9.0,1,0.0,reading
i for ā,1.0,1,0.0,reading
i for ą,1.0,1,0.0,reading
i for ą̇,1.0,1,0.0,reading
i for ē,14.0,6,0.2950888209164279,reading
i for ī,13.0,7,0.0824346394859776,reading
i for ń,1.0,1,0.0,reading
i for ŋ,2.0,2,0.0,reading
i for ō,2.0,2,0.0,reading
i for ū,1.0,1,0.0,reading
i for ə,511.0,10,0.062642755975217,reading
i for ə̄,7.0,5,0.3655174081377921,reading
i for ̊,2.0,2,0.0,reading
i for ϑ,1.0,1,0.0,reading
i for ạ,1.0,1,0.0,reading
i for ị,1.0,1,0.0,reading
i inserted,437.0,10,0.0229223601964532,reading
ii deleted,22.0,8,0.1418904213382981,reading
ii for a,3.0,2,0.663436384595441,reading
ii for ai,206.0,10,0.0648500062140375,reading
ii for e,1.0,1,0.0,reading
ii for i,31.0,9,0.0969554029505011,reading
ii for m,3.0,2,0.663436384595441,reading
ii for n,2.0,2,0.0,reading
ii for uu,2.0,1,0.0,reading
ii for y,1.0,1,0.0,reading
ii for āi,3.0,2,0.663436384595441,reading
ii for ōi,1.0,1,0.0,reading
ii for š,1.0,1,0.0,reading
ii inserted,23.0,8,0.1561542070059763,reading
j for a,1.0,1,0.0,reading
j for c,10.0,6,0.3889258528433991,reading
