app_id,stanza,lemma,app_relevance,mean_variant_likelihood,variant_rdgs,reading_rdgs
app-Y0.6-10-10,Y0.6,fərastuiiē. humatōibiiascā. hūxtōibiiascā. huuarštōibiiascā. mąϑβōibiiascā. vaxəδβōibiiascā. varštuuōibiiascā. aibī.gairiiā. daiϑē. vīspā. humatācā. hūxtācā. huuarštācā. paitī.riciiā. daiϑē. vīspā. dušmatācā. dužūxtācā. dužuuarštācā.,meaningful,0.7379885664320962,73,0
app-Y0.6-13-13,Y0.6,fərastuiiē. humatōibiiascā. hūxtōibiiascā. huuarštōibiiascā. mąϑβōibiiascā. vaxəδβōibiiascā. varštuuōibiiascā. aibī.gairiiā. daiϑē. vīspā. humatācā. hūxtācā. huuarštācā. paitī.riciiā. daiϑē. vīspā. dušmatācā. dužūxtācā. dužuuarštācā.,meaningful,0.7390246646116266,72,0
app-Y0.6-15-16,Y0.6,fərastuiiē. humatōibiiascā. hūxtōibiiascā. huuarštōibiiascā. mąϑβōibiiascā. vaxəδβōibiiascā. varštuuōibiiascā. aibī.gairiiā. daiϑē. vīspā. humatācā. hūxtācā. huuarštācā. paitī.riciiā. daiϑē. vīspā. dušmatācā. dužūxtācā. dužuuarštācā.,meaningful,0.7390246646116266,72,0
app-Y0.6-19-20,Y0.6,fərastuiiē. humatōibiiascā. hūxtōibiiascā. huuarštōibiiascā. mąϑβōibiiascā. vaxəδβōibiiascā. varštuuōibiiascā. aibī.gairiiā. daiϑē. vīspā. humatācā. hūxtācā. huuarštācā. paitī.riciiā. daiϑē. vīspā. dušmatācā. dužūxtācā. dužuuarštācā.,meaningful,0.7390246646116266,72,0
app-Y0.7-n-n,Y0.7,fərā. və̄.,meaningful,0.7390246646116266,72,0
app-Y0.7-2-2,Y0.7,fərā. və̄.,meaningful,0.7390246646116266,72,0
app-Y0.7-6-7,Y0.7,aməṣ̌ā. spəṇtā. yasnəmcā. vaɱəmcā. fərā. manaŋhā. fərā. vacaŋhā. fərā. š́iiaōϑanā. fərā. aŋhuiiā.,meaningful,0.7390246646116266,72,0
app-Y0.7-9-9,Y0.7,aməṣ̌ā. spəṇtā. yasnəmcā. vaɱəmcā. fərā. manaŋhā. fərā. vacaŋhā. fərā. š́iiaōϑanā. fərā. aŋhuiiā.,meaningful,0.7390246646116266,72,0
app-Y0.7-11-13,Y0.7,aməṣ̌ā. spəṇtā. yasnəmcā. vaɱəmcā. fərā. manaŋhā. fərā. vacaŋhā. fərā. š́iiaōϑanā. fərā. aŋhuiiā.,meaningful,0.7390246646116266,72,0
app-Y0.7-16-16,Y0.7,tanuuascīt̰. xᵛax́iiā̊. uštanəm.,meaningful,0.7390246646116266,72,0
app-Y0.9-1-1,Y0.9,vohū.,meaningful,0.7390246646116266,72,0
app-Y1.1-6-6,Y1.1,ńiuuaēδaiiemi. haṇkāraiiemi. daϑušō. ahurahe. mazdā̊. raēuuatō. xᵛarənaŋᵛhatō. mazištaheca. vahištaheca. sraēštaheca. xraōždištaheca. xraϑβištaheca. hukərəptəmaheca. aṣ̌āt̰. apanō.təmaheca.,meaningful,0.7390246646116266,72,0
app-Y1.1-13-13,Y1.1,ńiuuaēδaiiemi. haṇkāraiiemi. daϑušō. ahurahe. mazdā̊. raēuuatō. xᵛarənaŋᵛhatō. mazištaheca. vahištaheca. sraēštaheca. xraōždištaheca. xraϑβištaheca. hukərəptəmaheca. aṣ̌āt̰. apanō.təmaheca.,meaningful,0.7390246646116266,72,0
app-Y1.1-18-18,Y1.1,ńiuuaēδaiiemi. haṇkāraiiemi. daϑušō. ahurahe. mazdā̊. raēuuatō. xᵛarənaŋᵛhatō. mazištaheca. vahištaheca. sraēštaheca. xraōždištaheca. xraϑβištaheca. hukərəptəmaheca. aṣ̌āt̰. apanō.təmaheca.,meaningful,0.7390246646116266,72,0
