app_id,wit,lem,rdg,leading_punct_added,trailing_punct_added,cv_tail_absorbed
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-0-1,#ms0005,vīuuaŋᵛhā̊.,vīuuaŋhā.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-0-1,#ms0060,vīuuaŋᵛhā̊.,və̄uuaŋhā.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-2-3,#ms0060,paōiriiō.,paōiriiaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-7-8,#ms0410,hā.,hmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-9-10,#ms0410,aṣ̌iš.,maṣ̌iiō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
